"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,6457656567077.0,2823175325351.0,1751347247953.0,1356261664171.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,890819570657.0,47410383773.0,28850120614.0,125100653179.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,2168901000000.0,450000000000.0,300000000000.0,320000000000.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치측정금융자산,98505711790.0,850039876800.0,500046402614.0,210040293295.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및기타채권,732839221107.0,366330684127.0,217932307826.0,187118115434.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,2375818961320.0,1012870791066.0,645960096442.0,452469927424.0
ifrs-full_CurrentContractAssets,계약자산,Current contract assets,재무상태표 [abstract],자산 [abstract],유동자산,계약자산,87316397189.0,63910843988.0,27864867897.0,20812351177.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,48789472350.0,23984945243.0,23555628697.0,34782011074.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,54666232664.0,8627800354.0,7137823863.0,5938312588.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,10124393691409.0,5146835461512.0,4672853917009.0,4555364847749.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,7335813270.0,189491294.0,174482520.0,7000000.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매출채권및기타채권,10635001947.0,4428344378.0,28671558645.0,0.0
ifrs-full_InvestmentsInAssociates,관계기업및공동기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업투자,30774605702.0,2661309486003.0,2634428493852.0,2652731622024.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,0.0,0.0,20247960657.0,20761092845.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,3416528836940.0,2207063705617.0,1736567289165.0,1702792524097.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,5961306684591.0,32171618395.0,23344605855.0,21827515338.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,454923496204.0,20623773334.0,24160224188.0,16118883277.0
dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,Invested asset for postemployment benefit,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,29646230762.0,3572380111.0,11900143741.0,0.0
ifrs-full_NoncurrentContractAssets,계약자산,Non-current contract assets,재무상태표 [abstract],자산 [abstract],비유동자산,계약자산,177626602866.0,189331100143.0,168891554301.0,130670536317.0
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,32091698923.0,26919379491.0,23184192134.0,9498952389.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,3524720204.0,1226182746.0,1283411951.0,956721462.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,16582050258486.0,7970010786863.0,6424201164962.0,5911626511920.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,4181541561220.0,1107294649465.0,589300919466.0,690505242703.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무및기타채무,1761600070367.0,399030093590.0,185176705934.0,101128061254.0
dart_CurrentEmissionLiabilities,배출부채,Current emission liabilities,재무상태표 [abstract],부채 [abstract],유동부채,배출부채,538848000.0,725692500.0,427059724.0,553852695.0
ifrs-full_ShorttermBorrowings,사채및차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,사채및차입금,1138800019346.0,159855000000.0,190907459006.0,401650000000.0
ifrs-full_CurrentContractLiabilities,계약부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,계약부채,68530178265.0,65563229062.0,23430303328.0,26360570132.0
ifrs-full_CurrentLeaseLiabilities,리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,리스부채,142247057483.0,7537132303.0,6532620565.0,3248590174.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,223298677221.0,110174301963.0,23259655164.0,12857398029.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,846526710538.0,364409200047.0,159567115745.0,144706770419.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,3416034302109.0,1871613996718.0,1236117073132.0,866667523851.0
dart_LongTermTradeAndOtherNonCurrentPayables,매입채무및기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,매입채무및기타채무,551366868613.0,9152703103.0,9443625231.0,8105040694.0
ifrs-full_OtherNoncurrentFinancialLiabilities,사채및차입금,Bonds and Borrowings,재무상태표 [abstract],부채 [abstract],비유동부채,사채및차입금,965090332157.0,1114683996094.0,571450898845.0,236167124961.0
dart_NonCurrentDerivativeLiabilities,파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,파생상품부채,22733991336.0,0.0,1265011918.0,0.0
ifrs-full_NoncurrentContractLiabilities,계약부채,Non-current contract liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,계약부채,318360573185.0,220058599452.0,173686568977.0,118768686348.0
ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,267895530480.0,10671166108.0,16014284199.0,12640693837.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,1214215655517.0,487711642843.0,449847440408.0,470544914646.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,76371350821.0,29335889118.0,14409243554.0,6011768076.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,7597575863329.0,2978908646183.0,1825417992598.0,1557172766554.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,8984474395157.0,4991102140680.0,4598783172364.0,4354453745366.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,177935000000.0,165412500000.0,165412500000.0,165412500000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,5663111352594.0,2487313082024.0,2487313082024.0,2487313082024.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-2173393264.0,-8810638260.0,-7540138921.0,-10894765956.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),3145601435827.0,2347187196916.0,1953597729261.0,1712622929298.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,8984474395157.0,4991102140680.0,4598783172364.0,4354453745366.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,16582050258486.0,7970010786863.0,6424201164962.0,5911626511920.0
